ALDH1A1	NP_000680.2
POLD2	NP_006221.1
POLM	NP_037416.1
CHTF8	NP_060274.3
POLDIP2	NP_056399.1
CISH	NP_037456.5
SOCS3	NP_003946.3
SOCS2	NP_003868.1
PRL	NP_000939.1
CSH1	NP_072166.1
PRDX4	NP_006397.1
PRDX1	NP_002565.1
ARHGAP9	NP_115885.2
MCHR1	NP_005288.3
MCHR2	NP_115892.2
GBA	NP_000148.2
PSAP	NP_001035930.1
SEMG1	NP_002998.1
SERPINA1	NP_000286.3
PZP	NP_002855.2
POMC	NP_000930.1
MC2R	NP_000520.1
MC5R	NP_005904.1
HLA-DRB3	NP_072049.2
PLK1	NP_005021.2
PSMA1	NP_683877.1
PSMA6	NP_002782.1
XRN2	NP_036387.2
PSMA5	NP_002781.2
PELP1	NP_055204.2
PDIA4	NP_004902.1
PSMB9	NP_002791.1
PSMB10	NP_002792.1
PROS1	NP_000304.2
F8	NP_000123.1
PROCR	NP_006395.2
AMBP	NP_001624.1
SEC61B	NP_006799.1
TMEM57	NP_060672.2
DNAJC3	NP_006251.1
CASP7	NP_203124.1
CASP8	NP_001073594.1
METAP2	NP_006829.1
MAP3K5	NP_005914.1
ASH2L	NP_004665.2
IKBKB	NP_001547.1
TARBP2	NP_599150.1
TIRAP	AAH32474.1
PTGES3	NP_006592.3
PPP1CC	NP_002701.1
PRKRIR	NP_004696.2
SEC61A2	NP_060614.2
STRBP	NP_060857.2
PRKRIP1	NP_078929.1
PPP1CA	NP_001008709.1
MAP2K1	NP_002746.1
MYC	NP_002458.2
SLIT1	NP_003052.2
RPS6KA2	NP_001006933.1
TRAF3	NP_663777.1
CASP9	NP_001220.2
MAP3K4	NP_005913.2
MAPKSP1	NP_068805.1
RPS6KA4	NP_003933.1
MYOT	NP_006781.1
LEPR	NP_002294.2
PEBP1	NP_002558.1
TRIB1	NP_079471.1
PEBP4	AAK67629.1
MAPK8IP3	NP_055948.2
KSR2	NP_775869.3
PARVA	NP_060692.1
HEY1	NP_001035798.1
EPHA2	NP_004422.2
PRKCB	NP_002729.2
APOE	NP_000032.1
TNFRSF1A	NP_001056.1
LRP1	NP_002323.2
STAT5A	NP_003143.2
PXN	BAA18998.1
HNRNPU	NP_114032.2
LAIR1	NP_002278.1
STAT5B	NP_036580.2
MPZL1	NP_003944.1
SIGLEC7	NP_055200.1
SIT1	NP_055265.1
PILRA	NP_038467.2
MAP2	NP_114034.1
PRKCH	NP_006246.2
SLAMF6	NP_443163.1
SIGLEC11	NP_443116.2
FRS3	NP_006644.1
BTLA	NP_861445.3
MAPT	NP_001116538.1
C6orf25	NP_612116.1
TREML1	NP_835468.1
LILRB4	NP_006838.3
SIGLEC12	NP_443729.1
GRID2	NP_001501.2
PTPN4	NP_002821.1
PTPN5	NP_116170.3
NEFM	NP_005373.2
TTC37	NP_055454.1
TNC	NP_002151.2
PTPRB	NP_001103224.1
NRCAM	NP_001032209.1
MAGI3	NP_001136254.1
F11R	NP_653086.1
SSTR2	NP_001041.1
NAGK	NP_060037.2
SIRPA	NP_542970.1
VLDLR	NP_003374.3
SIL1	NP_071909.1
CLEC4A	NP_057268.1
MYOZ1	NP_067068.1
CUZD1	NP_071317.2
PILRB	AAG17224.1
LILRB2	NP_005865.2
SCARB1	NP_005496.4
CD300LF	NP_620587.2
DNAJA3	NP_005138.3
DKK1	NP_036374.1
KLRB1	NP_002249.1
PABPC4	NP_001129125.1
PLEC1	NP_958782.1
KLRA1	NP_006602.2
DNAJB2	NP_006727.2
LRP8	NP_004622.2
PTPRM	NP_001098714.1
PTPRS	NP_002841.3
PTPRD	NP_002830.1
DCP1B	AAN62764.1
GLRX	NP_002055.1
NTRK2	NP_006171.2
TEP1	NP_009041.2
CLK2	NP_003984.2
CLK1	NP_004062.2
NFKBIA	NP_065390.1
HMG20A	NP_060670.1
XPO5	NP_065801.1
PTPRG	NP_002832.3
TRIP6	NP_003293.2
PPFIBP1	NP_003613.2
PTPN7	NP_542155.1
PTPRZ1	NP_002842.2
PKIA	NP_006814.1
PRKACB	NP_891993.1
CSNK2A1	NP_001886.1
APEX1	NP_542380.1
PKIB	NP_861460.1
PRKAR2A	NP_004148.1
SCTR	NP_002971.2
SEMG2	NP_002999.1
PRKX	NP_005035.1
AKAP14	NP_848928.1
AKAP1	NP_003479.1
CBFA2T3	NP_005178.4
AKAP9	NP_671700.1
GZMA	NP_006135.1
AKAP5	NP_004848.3
AKAP3	NP_006413.2
AKAP6	NP_004265.3
AKAP10	NP_009133.2
AKAP11	NP_057332.1
AKAP12	NP_005091.2
NBEA	NP_056493.3
RAB32	NP_006825.1
AKAP2	NP_009134.1
ARFGEF2	NP_006411.2
MYCBPAP	NP_115509.4
AKAP7	NP_057461.1
RPL28	NP_001129607.1
TCTA	NP_071503.1
PRKAR1B	NP_002726.1
XRCC6	NP_001460.1
PRKAR2B	NP_002727.2
AKAP4	NP_003877.2
LASP1	AAH07560.1
PHLDB2	NP_001127910.1
NME1	NP_937818.1
PPP2CB	NP_004147.1
GAD1	NP_000808.2
HDLBP	NP_005327.1
LCMT1	NP_057099.3
SERPINE2	NP_001130002.1
F2R	NP_001983.2
HMGB2	NP_002120.1
C6	NP_000056.2
F9	NP_000124.1
AANAT	NP_001079.1
SERPINB8	NP_002631.3
F2RL2	NP_004092.1
F2RL3	NP_003941.2
AKR7A2	NP_003680.2
HGFAC	NP_001519.1
F11	NP_000119.1
RALA	NP_005393.2
TXN	NP_003320.2
GPNMB	NP_001005340.1
PSG9	NP_002775.3
ST13	NP_003923.2
TH1L	NP_945327.1
MAPK13	NP_002745.1
PROZ	NP_003882.1
TM9SF2	NP_004791.1
EEF1A1	NP_001393.1
ZBED5	NP_067034.2
RYR1	NP_000531.2
PYGM	NP_005600.1
AGER	NP_001127.1
CAPZA1	NP_006126.1
CACYBP	NP_055227.1
RMND5B	NP_073599.2
IL13RA1	NP_001551.1
PRMT5	NP_006100.2
STAM2	NP_005834.4
NXF2	NP_060279.2
FER	NP_005237.2
TMF1	NP_009045.2
FGF9	NP_002001.1
FGF10	NP_004456.1
EPHA8	NP_065387.1
EFNA4	NP_872631.1
EFNA5	NP_001953.1
TNFAIP1	NP_066960.1
EFNA1	NP_004419.2
EFNA3	NP_004943.1
EFNA2	NP_001396.2
ACP1	NP_004291.1
CD247	NP_932170.1
TUBA4A	NP_005991.1
TYROBP	NP_003323.1
SGCG	NP_000222.1
HNRNPL	NP_001524.2
DBNL	NP_001116428.1
PTPN3	NP_002820.3
FCRL3	NP_443171.2
NFAM1	NP_666017.1
SREBF1	NP_001005291.1
ZFP36	NP_003398.1
RPS6KA3	NP_004577.1
ELK1	NP_005220.2
SREBF2	NP_004590.2
ANP32C	NP_036535.1
DUSP1	NP_004408.1
SCNN1G	NP_001030.2
UHRF2	NP_690856.1
MAP2K2	NP_109587.1
C1QBP	NP_001203.1
PPARG	NP_056953.2
RPS6KA1	NP_001006666.1
DCTN1	NP_004073.2
GMFB	AAH05359.1
EIF4EBP1	NP_004086.1
PTPRH	NP_002833.3
TNFSF11	NP_003692.1
DUSP4	NP_001385.1
DUSP7	NP_001938.2
PTPRR	NP_002840.1
IER3	NP_434702.1
SNCG	NP_003078.2
DUSP5	NP_004410.3
KLF11	NP_003588.1
PPP1R9B	NP_115984.3
TNFRSF25	NP_683866.1
ANP32A	NP_006296.1
IQGAP1	NP_003861.1
PEA15	NP_003759.1
NEK2	NP_002488.1
DYRK1B	NP_004705.1
MKNK2	NP_951009.1
RGS19	NP_005864.1
SET	NP_001116293.1
UBR5	NP_056986.2
CAD	NP_004332.2
GORASP2	NP_056345.3
TPR	AAB48030.1
FHL3	NP_004459.2
TNIP1	NP_006049.3
MKNK1	NP_003675.2
DUSP16	NP_085143.1
ERF	NP_006485.2
CALCOCO1	NP_065949.1
MAFA	NP_963883.2
NDE1	NP_060138.1
GABRR1	NP_002033.2
PSG2	NP_112536.2
C16orf57	NP_078874.2
BAT2	NP_542417.2
SORBS3	NP_005766.3
MAPK4	NP_002738.2
PRKCZ	NP_002735.3
RRAD	NP_004156.1
RHO	NP_000530.1
DDX5	NP_004387.1
KCND2	NP_036413.1
TERT	NP_003210.1
STAG1	NP_005853.2
VCL	NP_054706.1
NCF1	NP_000256.3
GJB1	NP_000157.1
XK	NP_066569.1
ITGB2	NP_000202.2
PTPN12	NP_002826.3
SNAP25	NP_003072.2
DLX3	NP_005211.1
AVPR1A	NP_000697.1
RGS2	NP_002914.1
MYLK	NP_444253.3
CASR	NP_000379.2
GPM6A	NP_005268.1
ADD3	NP_058432.1
BTG2	NP_006754.1
OGG1	NP_058214.1
PA2G4	NP_006182.2
NRGN	NP_006167.1
HAND1	NP_004812.1
C3	NP_000055.2
HAND2	NP_068808.1
CFTR	NP_000483.3
CYTH2	NP_059431.1
RGS7	NP_002915.3
SNAP23	NP_003816.2
FSCN1	NP_003079.1
STXBP1	NP_003156.1
C4BPA	NP_000706.1
SPAG1	NP_003105.2
CEP135	NP_079285.2
GNA12	NP_031379.2
GRM1	NP_000829.2
CD163	NP_004235.3
CTGF	NP_001892.1
TRPV6	NP_061116.2
GSK3A	NP_063937.2
PLCB1	NP_056007.1
HSPB8	NP_055180.1
CHAT	NP_065574.3
MARCKS	NP_002347.5
PTGIR	NP_000951.1
ADCY5	NP_899200.1
EDF1	NP_003783.1
SDPR	NP_004648.1
KCNE4	NP_542402.2
ADAP1	NP_006860.1
AFAP1	NP_001128119.1
TRIM29	NP_036233.2
PDLIM7	NP_005442.2
STXBP3	NP_009200.2
LTF	NP_002334.2
HABP4	NP_055097.2
GABRR2	NP_002034.2
PPP1R14A	NP_150281.1
THOC5	NP_001002878.1
GRIA2	NP_000817.2
HMGB1	NP_002119.1
RARA	NP_000955.1
SDC4	NP_002990.2
EVC2	NP_667338.3
TNNT2	NP_000355.2
SPTAN1	NP_001123910.1
NPHP1	NP_000263.2
MDK	NP_002382.1
GCNT1	NP_001481.2
BMPR2	NP_001195.2
GRIN2D	NP_000827.2
MAPK6	NP_002739.1
EIF6	NP_852133.1
GNA13	NP_006563.2
PDLIM5	NP_006448.3
MKI67	NP_002408.3
RIPK4	NP_065690.2
GRIN1	NP_015566.1
GABRB2	NP_068711.1
GABRG2	NP_944493.2
ARID1B	NP_059989.1
MAN1C1	NP_065112.1
CNN1	NP_001290.2
SCN3A	NP_008853.3
TRPV1	NP_542437.2
VDAC1	NP_003365.1
COPB2	NP_004757.1
GAD2	NP_000809.1
EIF3E	NP_001559.1
CYTH1	NP_004753.1
MEP1B	NP_005916.2
KCNJ4	NP_690607.1
TAGLN	NP_003177.2
NCF4	NP_038202.2
PPP2R5C	NP_002710.2
CHPF	NP_078812.2
ADAM9	NP_003807.1
KLF5	NP_001721.2
EIF2S1	NP_004085.1
LPL	NP_000228.1
AKT3	NP_005456.1
PLSCR3	NP_065093.2
PPP2CA	NP_002706.1
KCNJ1	NP_000211.1
MYOZ3	NP_588612.2
PDP2	NP_065837.1
RASGRP3	NP_733772.1
PDP1	NP_060914.2
PRKCG	NP_002730.1
PNMA1	NP_006020.4
MMP13	NP_002418.1
PARD3	NP_062565.2
PARD6A	NP_058644.1
GABRA4	NP_000800.2
MARK4	NP_113605.2
PARD6B	NP_115910.1
RNF123	NP_071347.2
SYT1	NP_005630.1
TUBB	NP_001060.1
ABTB1	NP_742024.1
MMP14	NP_004986.1
PDE4D	NP_001098101.1
TP73	NP_005418.1
IFNAR2	NP_997468.1
PABPC1	NP_002559.2
RASA3	NP_031394.2
GCC1	NP_078799.2
ST7	NP_068708.1
NSMAF	NP_001138244.1
AGTRAP	NP_065083.3
LRP12	NP_038465.1
PSMD8	NP_002803.2
IRAK1	NP_001560.2
NFATC2	NP_775114.1
HSP90AB1	NP_031381.2
SQSTM1	NP_003891.1
TRAF6	NP_665802.1
FADD	NP_003815.1
MAP2K5	NP_660144.1
GTPBP1	NP_004277.2
DAPK3	NP_001339.1
MMP15	NP_002419.1
PAWR	NP_002574.2
FEZ2	NP_001036013.1
WWC1	NP_056053.1
PARD6G	NP_115899.1
MMP16	NP_005932.2
AP2A2	NP_036437.1
GUCY2D	NP_000171.1
APP	NP_000475.1
ADORA2A	NP_000666.2
ACTN2	NP_001094.1
MMP17	NP_057239.4
S100A11	NP_005611.1
NDRG1	NP_006087.2
STK38	NP_009202.1
EWSR1	NP_053733.2
AHNAK	NP_001611.1
STARD13	NP_821074.1
AKR1B1	NP_001619.1
S100A2	NP_005969.1
TPM3	NP_689476.2
PIGQ	NP_683721.1
FECH	NP_001012533.1
ABCB7	NP_004290.2
PUM1	NP_001018494.1
ANKRD27	NP_115515.2
ICK	NP_057597.2
APBA2	NP_005494.2
ZDHHC3	NP_001128652.1
SMARCE1	NP_003070.3
PSKH1	NP_006733.1
TNF	NP_000585.2
PRTN3	NP_002768.3
CAMP	NP_004336.2
RELA	NP_068810.3
CCL3	NP_002974.1
PSMB8	NP_683720.2
LSM1	NP_055277.1
ZNF510	NP_055745.1
EPB42	NP_000110.2
KRAS	NP_203524.1
SLC4A2	NP_003031.3
CD47	NP_001768.1
STX12	NP_803173.1
CNO	NP_060836.1
SPINK7	NP_115955.1
ANK1	NP_001135918.1
USF2	NP_003358.1
MAPK8IP1	NP_005447.1
SOX9	NP_000337.1
PSMD1	NP_002798.2
COLQ	NP_005668.2
BCHE	NP_000046.1
ZNF76	NP_003418.2
SFTPA2	NP_008857.2
SFTPA1	NP_005402.3
DMBT1	NP_015568.2
MYO18A	NP_510880.2
C1QA	NP_057075.1
GIPC1	NP_005707.1
HBP1	NP_036389.2
MFAP4	NP_002395.1
SFTPD	NP_003010.4
KDM6A	NP_066963.2
BCAN	NP_068767.3
EIF3C	NP_003743.1
PPP2R5E	NP_006237.1
VPS8	NP_001009921.1
PKM2	NP_872270.1
SORBS2	NP_066547.1
EXOSC5	NP_064543.3
RANBP9	NP_005484.2
PDHA2	NP_005381.1
PDHB	NP_000916.2
PDHX	NP_003468.2
ITGB1BP1	NP_004754.1
PDHA1	NP_000275.1
CTR9	NP_055448.1
AFF1	NP_005926.1
RABGGTB	NP_004573.2
RAB3A	NP_002857.1
RAB1A	NP_004152.1
PTP4A2	NP_003470.1
XAB2	NP_064581.2
RAD18	NP_064550.3
UBE2B	NP_003328.1
UBR2	NP_056070.1
RDX	NP_002897.1
ABCC2	NP_000383.1
ANG	NP_001136.1
MAPK8IP2	NP_036456.1
CASK	NP_003679.2
CHM	NP_000381.1
NOS1AP	NP_055512.1
RABIF	NP_002862.2
SYTL5	NP_620135.1
RIMS1	NP_055804.2
RAB3IL1	NP_037533.2
DMXL2	NP_056078.2
RAB3IP	NP_783322.1
GULP1	NP_057399.1
CAMK2G	NP_751911.1
MCM3AP	NP_003897.2
MAP3K11	NP_002410.1
SYNJ2BP	NP_060843.2
DOCK1	NP_001371.1
IQGAP2	NP_006624.2
ECT2	NP_060568.3
ELMO1	NP_055615.8
ELMO2	NP_071369.4
ANAPC10	NP_055700.2
PPARD	NP_006229.1
RABGGTA	NP_878256.1
EIF3F	NP_003745.1
GOLGA5	NP_005104.2
MICALL1	NP_203744.1
BAZ1A	BAA89209.1
ALG13	NP_079086.1
RAB2A	NP_002856.1
ZNF592	NP_055445.2
BLZF1	NP_003657.1
STX4	NP_004595.2
RAB4A	NP_004569.2
MYST3	NP_006757.2
RABEP1	NP_004694.2
KIF3B	NP_004789.1
RAB11FIP1	NP_001002814.1
RABGEF1	BAC87138.1
RUFY1	NP_079434.3
NR2F6	NP_005225.2
NR2F2	NP_066285.1
ZFYVE20	NP_071735.2
MAN1A2	NP_006690.1
RAB5A	NP_004153.2
TSC2	NP_000539.2
SDCBP	NP_005616.2
EEA1	NP_003557.2
RIN1	NP_004283.2
RAB37	NP_001006638.1
USP6NL	NP_001073960.1
TBC1D3F	NP_115634.2
ALS2CL	NP_667340.2
RIN2	NP_061866.1
TBC1D3C	NP_001001418.2
RAB6A	NP_002860.2
GDI1	NP_001484.1
BICD1	NP_001705.2
GOLGA1	NP_002068.1
GOLGA4	NP_002069.2
ERC1	NP_829884.1
RABGAP1	NP_036329.3
KIF20A	NP_005724.1
BICD2	NP_001003800.1
UTRN	NP_009055.2
OTUB1	NP_060140.2
UBA6	NP_060697.4
TFRC	NP_003225.2
RAB5B	NP_002859.1
RIN3	NP_079108.3
RAP1A	NP_002875.1
TRIM24	NP_056989.2
RGS14	NP_006471.2
KRIT1	NP_919437.1
RASGRP4	NP_733749.1
RAPGEF6	NP_057424.3
RGL4	NP_705843.1
BCL11A	NP_075044.2
RAPGEF5	NP_036426.3
RMND5A	NP_073617.1
RAP1B	NP_056461.1
RGL2	NP_004752.1
RAP2A	NP_066361.1
BCL11B	NP_612808.1
RUNDC3A	NP_001138297.1
TNIK	NP_055843.1
RAP2B	NP_002877.2
CNKSR2	NP_055742.2
EXOC5	NP_006535.1
EXOC1	NP_060731.2
RALBP1	NP_006779.1
REPS1	NP_114128.3
EXOC3	NP_009208.2
AQP1	NP_000376.1
EXOC8	NP_787072.2
RAB8B	NP_057614.1
RALGPS1	NP_055451.1
EXOC2	NP_060773.3
EXOC4	NP_068579.3
EXOC7	NP_001138769.1
PHKA2	NP_000283.1
REPS2	Q8NFH8
RALB	NP_002872.1
RBM10	NP_005667.2
PPFIA2	NP_003616.2
PPFIA3	NP_003651.1
PPFIA1	NP_003617.1
ROM1	NP_000318.1
CNGB1	NP_001288.3
EPHA1	NP_005223.4
AQP2	NP_000477.1
EPHA3	NP_005224.2
EFNB2	NP_004084.1
RUFY2	NP_060457.4
RAG1	NP_000439.1
UBAC1	NP_057256.2
RAG2	NP_000527.2
RAD51	NP_597994.3
EPRS	NP_004437.2
RARS	NP_002878.2
FANCD2	NP_149075.2
BRCA2	NP_000050.2
DMC1	NP_008999.2
RAD51AP1	AAH16330.1
RAD54L	NP_003570.2
SELE	NP_000441.2
KRTAP4-12	NP_114060.1
RAD54B	NP_036547.1
BLM	NP_000048.1
C17orf28	NP_085133.1
ATM	NP_000042.3
BCCIP	NP_057651.1
GRK1	NP_002920.1
RCVRN	NP_002894.1
GRK6	NP_002073.2
GRK5	NP_005299.1
LTBP4	NP_001036009.1
RCC1	NP_001041659.1
CSNK1A1	NP_001020276.1
NUP98	NP_057404.2
RAN	NP_006316.1
RANBP1	NP_002873.1
HIST2H2BE	NP_003519.1
KPNA3	NP_002258.2
XPO1	NP_003391.1
RANBP3	NP_015561.1
HIST2H2AA3	NP_003507.1
RXFP1	NP_067647.2
RLN1	NP_008842.1
RLN2	NP_604390.1
RXFP2	NP_570718.1
RENBP	NP_002901.2
REN	NP_000528.1
ATP6AP2	NP_005756.2
PCSK5	NP_006191.2
DNAJC7	AAH11837.2
RPA2	NP_002937.1
RPA3	NP_002938.1
AIMP1	NP_001135888.1
XPA	NP_000371.1
ORC2L	NP_006181.1
MSH4	NP_002431.2
RPA4	NP_037479.1
TREX1	NP_569055.1
SYVN1	NP_757385.1
HELB	NP_387467.2
RAD52	NP_002870.2
TBCD	NP_005984.3
UNG	NP_550433.1
MEGF11	NP_115821.2
SERTAD3	NP_037500.2
YWHAQ	NP_006817.1
PAFAH1B1	NP_000421.1
CLIP1	NP_002947.1
CLASP2	NP_055912.1
RDH5	NP_002896.2
RLBP1	NP_000317.1
RARG	NP_000957.1
RHOXF2	NP_115887.1
FTL	NP_000137.2
TMPO	NP_003267.1
PNPLA2	NP_065109.1
QARS	NP_005042.1
SUV39H1	NP_003164.1
MORF4L2	NP_036418.1
AHR	NP_001612.1
E2F2	NP_004082.1
E2F3	NP_001940.1
E2F4	NP_001941.2
BAT2L1	NP_037450.2
RBBP5	NP_005048.2
PRDM2	NP_036363.2
SMARCB1	NP_003064.2
SP3	NP_003102.1
RING1	NP_002922.2
SNAPC3	NP_003075.1
ARG1	NP_000036.2
ARG2	NP_001163.1
MNAT1	NP_002422.1
MDM4	NP_002384.2
RBBP9	NP_006597.2
RBBP7	NP_002884.1
RBBP4	NP_005601.1
SNW1	NP_036377.1
CBX4	NP_003646.2
GRIN2B	NP_000825.2
EFCAB4B	NP_001138430.1
PRKRA	NP_003681.1
USP4	NP_003354.2
CCNT2	NP_490595.1
CCNA1	NP_003905.1
RBBP8	AAH30590.1
TRIP11	NP_004230.2
ENC1	NP_003624.1
TRAP1	NP_057376.2
FRK	NP_002022.1
TRAF1	NP_005649.1
TNFRSF17	NP_001183.2
NDC80	NP_006092.1
EID1	NP_055150.1
RNF40	NP_055586.1
KDM5A	NP_001036068.1
THOC1	NP_005122.2
MORF4L1	NP_996670.1
ARID3B	NP_006456.1
CREG1	NP_003842.1
TRAF2	NP_066961.2
AATF	NP_036270.1
LIN9	NP_775106.2
RBAK	NP_066986.1
MTMR11	NP_870988.2
SMG1	NP_055907.3
ARID4A	NP_002883.3
HDAC2	NP_001518.2
E2F5	NP_001942.2
TNFSF13B	NP_006564.1
BRF2	NP_060780.2
NR1H2	NP_009052.3
TNFSF13	NP_003799.1
PSMC5	NP_002796.4
NR4A2	NP_006177.1
NCOA4	NP_001138732.1
MAPK7	NP_620603.2
BRD8	NP_631938.1
CHRD	NP_003732.2
TADA3	NP_006345.1
ZNHIT3	NP_004764.1
JMJD1C	NP_116165.1
TRIP10	NP_004231.1
CBFA2T2	NP_005084.1
COPS2	NP_001137359.1
NR0B2	NP_068804.1
UBE3A	NP_000453.2
NFKBIB	NP_002494.2
ADRB1	NP_000675.1
ARRB1	NP_004032.2
PRMT2	NP_996845.1
NCOA2	NP_006531.1
NPAS2	NP_002509.2
NSD1	NP_071900.2
RNF8	NP_003949.1
ZBTB16	NP_005997.2
ADRBK1	NP_001610.2
TAF11	NP_005634.1
PSMC3IP	NP_057640.1
RXRB	NP_068811.1
CLTC	NP_004850.1
NR2E3	NP_055064.1
RARB	NP_000956.2
RXRG	NP_008848.1
CSK	NP_004374.1
DIAPH3	NP_001035982.1
CYP11A1	NP_000772.2
RBP3	NP_002891.1
CLPB	NP_110440.1
RHAG	NP_000315.2
PRSS1	NP_002760.1
TST	NP_003303.2
MT-ND1	NP_776056.1
ZNF83	NP_060770.3
CXCR2	NP_001548.1
SAG	NP_000532.2
GNGT1	NP_068774.1
TAL2	NP_005412.1
LMO2	NP_005565.2
TAL1	NP_003180.1
RLIM	NP_899196.1
ISL1	NP_002193.2
LDB1	NP_001106878.1
ELF2	NP_973728.1
RRM1	NP_001024.1
RRM2	NP_001025.1
RRM2B	NP_056528.2
ABCE1	NP_002931.2
RNASEL	NP_066956.1
MGAT1	NP_002397.2
STAU1	NP_059347.2
RPS6	NP_001001.2
PAK2	NP_002568.2
RPS6KB1	NP_003152.1
AP2A1	AAH14214.1
UPF2	NP_542166.1
RPS25	NP_001019.1
ASB2	NP_057234.2
MAN2B1	NP_000519.2
UNC45A	NP_061141.2
LNPEP	NP_005566.2
DST	NP_001138241.1
HUWE1	NP_113584.3
ZCCHC7	NP_115602.2
UBQLN2	NP_038472.2
RPN1	NP_002941.1
RAD23A	NP_005044.1
TOPORS	NP_005793.2
SP100	NP_001073860.1
DCUN1D1	NP_065691.2
ANKRD13A	NP_149112.1
EPN3	NP_060427.2
CAMK2D	NP_001212.2
RPS18	NP_072045.1
USP13	NP_003931.2
IPO11	NP_001128251.1
RPL12	NP_000967.1
TNFAIP3	NP_006281.1
PDCD4	NP_055271.2
RPS13	NP_001008.1
RNF168	NP_689830.2
LBP	NP_004130.2
RPS21	NP_001015.1
VDAC2	AAA60144.1
EPS15	NP_001972.1
EPN1	NP_001123543.1
PBX2	NP_002577.2
RPL4	NP_000959.2
ARF6	NP_001654.1
EXOSC10	NP_001001998.1
RPE	NP_008847.1
NEDD4L	NP_001138439.1
RPLP0	NP_444505.1
TOM1L2	NP_001076437.1
SUMO2	NP_008868.3
SAE1	NP_005491.1
UBA2	NP_005490.1
RPLP2	NP_000995.1
RPLP1	NP_000994.1
SLC9A5	NP_004585.1
CCNE2	NP_477097.1
RPS15	NP_001009.1
RIT1	NP_008843.1
RLF	NP_036553.2
RIT2	NP_002921.1
ACTN3	NP_001095.1
AP2B1	AAH06201.1
SUMO3	NP_008867.2
RANGAP1	NP_002874.1
DDX17	NP_001091974.1
ARSF	NP_004033.2
HTATSF1	NP_055315.2
HNRNPA2B1	NP_112533.1
SFRS1	NP_008855.1
DVL1	NP_004412.2
SFRS2	NP_003007.2
SIP1	NP_003607.1
SNRPC	NP_003084.1
SFRS2IP	NP_004710.2
CTDP1	NP_004706.3
NUDT21	NP_008937.1
ZRANB2	NP_976225.1
SRPK1	NP_003128.3
CCR5	NP_000570.1
FKBP1A	NP_000792.1
TRDN	NP_006064.2
HOMER2	NP_955362.1
HOMER3	NP_004829.3
HOMER1	NP_004263.1
RYR3	NP_001027.3
SRI	NP_003121.1
FKBP1B	NP_004107.1
AHCY	NP_000678.1
NSF	NP_006169.2
ADCYAP1	NP_001108.2
SCT	NP_068739.1
CPAMD8	NP_056507.2
TRIM23	NP_001647.1
ARFRP1	NP_003215.1
CYTIP	NP_004279.3
TGFB1	NP_000651.3
CTSK	NP_000387.1
NEDD8	NP_006147.1
NAE1	NP_003896.1
CUL2	NP_003582.2
CUL4B	NP_003579.3
DVL2	NP_004413.1
FN1	NP_997647.1
TBRG1	NP_116200.2
GSPT1	NP_002085.2
SPR	NP_003115.1
HTR1D	NP_000855.1
HTR1B	NP_000854.1
KIAA1984	NP_001034463.3
ANKRD12	NP_056023.3
ZNF227	NP_872296.1
HTR2A	NP_000612.1
ZFP91	NP_444251.1
STX1A	NP_004594.1
SLC6A4	NP_001036.1
TGM1	NP_000350.1
TRHR	NP_003292.1
TPI1	NP_000356.1
SRP19	NP_003126.1
TNPO1	NP_002261.3
IPO7	NP_006382.1
IPO8	NP_006381.2
MET	NP_001120972.1
SNAPIN	NP_036569.1
SSR2	NP_003136.1
SRPR	NP_003130.2
SHBG	NP_001031.2
ARRB2	NP_004304.1
PCBD2	NP_115527.3
EVPL	NP_001979.2
SPRR2A	NP_005979.1
SPRR3	NP_005407.1
CCR8	NP_005192.1
CCL1	NP_002972.1
SNRPB	NP_937859.1
COIL	NP_004636.1
SMN1	NP_000335.1
SKIV2L	NP_008860.4
SNRPD3	NP_004166.1
SNRPD1	NP_008869.1
DLG1	NP_004078.2
CSNK2A2	NP_001887.1
STXBP2	NP_008880.2
CLNS1A	NP_001284.1
SMNDC1	NP_005862.1
TOP3B	NP_003926.1
GEMIN5	NP_056280.2
GEMIN4	NP_056536.2
SMN2	NP_059107.1
LSM11	NP_775762.1
WDR77	NP_077007.1
WBP4	NP_009118.1
CCL4	NP_002975.1
NTSR1	NP_002522.2
CCR1	NP_001286.1
CCR4	NP_005499.1
CCBP2	NP_001287.2
MDM2	NP_002383.2
PAPOLA	NP_116021.2
CAV3	NP_203123.1
SLC8A1	NP_066920.1
SLC9A3	NP_004165.2
PDZK1	NP_002605.2
SLC17A1	NP_005065.2
SMC1A	NP_006297.2
ATP1A1	NP_000692.2
FXYD2	NP_001120961.1
FXYD1	NP_005022.2
TPT1	NP_003286.1
EPB41L3	NP_036439.2
ATP1B1	NP_001668.1
NGB	NP_067080.1
ATP1B2	NP_001669.3
ATP1A2	NP_000693.1
EPB41	AAD42222.1
MACROD1	NP_054786.2
SSTR5	NP_001044.1
SSTR1	NP_001040.1
CORT	NP_001293.2
SST	NP_001039.1
SEC14L1	NP_001034662.2
SSTR3	NP_001042.1
SSTR4	NP_001043.2
AVPR2	NP_000045.1
ADCY10	NP_060887.2
SON	NP_620305.1
ANXA7	NP_004025.1
PSEN2	NP_000438.2
ANXA11	NP_665876.1
GCA	NP_036330.1
AP1B1	NP_001118.3
ITSN1	NP_003015.2
ABI1	NP_005461.2
ABI3	NP_057512.1
PACSIN1	NP_065855.1
PACSIN3	NP_057307.2
SNX9	NP_057308.1
SNX18	NP_443102.2
